Batch,Photoperiod,Time,Genotype,Starch,Maltose,Sucrose,Fructose,Glucose,Fumarate,Malate
1,SD,0.041666667,gwd,22.76858288,0.022669178,1.028441411,0.253309259,0.322023191,0.874242796,0.226792752
1,SD,0.041666667,gwd,7.555307493,0.028792975,1.262024785,0.222679427,0.258816919,1.113364307,0.289613919
1,SD,0.041666667,gwd,10.07681041,0.027908643,1.369434625,0.224467014,0.301259179,1.449335762,0.323374952
1,SD,0.083333333,gwd,20.37823007,0.034754343,1.387414017,0.997483935,1.322603353,1.585269266,0.343234349
1,SD,0.083333333,gwd,15.93859643,0.033340221,1.343823565,0.956384931,1.156220453,1.77558385,0.216763847
1,SD,0.083333333,gwd,20.25292052,0.037100551,1.452314767,1.201501376,1.378039904,2.225343938,0.461552927
1,SD,0.166666667,gwd,34.22896304,0.048647707,1.248909587,1.043495016,1.788145478,2.814376728,0.556654447
1,SD,0.166666667,gwd,36.93470889,0.027608976,0.877805749,0.574776483,1.117759313,1.823945242,0.571807285
1,SD,0.166666667,gwd,33.37765497,0.045971052,1.217197953,0.913609247,1.836120465,2.621490091,0.717387738
1,SD,0.291666667,gwd,55.38985508,0.024916478,0.542708933,0.339497966,0.669618075,1.701200846,0.668189434
1,SD,0.291666667,gwd,47.10407758,0.028424818,0.645755539,0.270222726,0.723462596,2.182888254,0.966558218
1,SD,0.333333333,gwd,57.6358332,0.047652354,0.647179651,0.362337702,0.834794821,2.156079193,0.665409344
1,SD,0.333333333,gwd,46.32312892,0.0596768,0.725849767,0.4949054,0.900070744,2.202129193,0.813303893
1,SD,0.333333333,gwd,51.47344771,0.039624411,0.423757975,0.174759406,0.487957253,1.623908554,0.574112533
1,SD,0.5,gwd,26.53809271,0.015811253,0.265203344,0.049394945,0.100548821,0.75509653,0.219051945
1,SD,0.5,gwd,30.68055556,0.014393089,0.200473724,0.035934425,0.096824292,0.636019481,0.242733897
1,SD,0.666666667,gwd,25.94610468,0.022672593,0.302321176,0.06008921,0.179798907,0.998836479,0.263324841
1,SD,0.666666667,gwd,26.74061015,0.032802963,0.407575272,0.076124664,0.266987075,1.408104049,0.263333517
1,SD,0.666666667,gwd,20.08576024,0.022195419,0.26734748,0.040750153,0.113667697,1.055578567,0.260970925
1,SD,0.833333333,gwd,14.0795207,0.018361314,0.12241657,0.030847252,0.084231814,0.656155226,0.148042364
1,SD,0.833333333,gwd,6.690119742,0.018560244,0.117690445,0.055967965,0.107080324,0.659103661,0.129145658
1,SD,0.833333333,gwd,20.95864906,0.021718785,0.156032714,0.022397372,0.120728196,0.66418397,0.088968515
1,SD,0.958333333,gwd,20.15739762,0.015769001,0.064533373,0.01550698,0.071108471,0.847935691,0.166313102
1,SD,0.958333333,gwd,22.75752643,0.023583681,0.098697196,0.029970206,0.12972956,0.752705269,0.077842212
1,SD,0.958333333,gwd,13.53553922,0.018676885,0.075458838,0.009626286,0.104060365,0.906762578,0.151215425
1,SD,1,gwd,11.15037215,0.016674559,0.059418322,0.013163988,0.057806813,0.461626874,0.070495811
1,SD,1,gwd,13.68387365,0.012199802,0.039235269,0.008358544,0.068269851,0.396685787,0.066265145
1,SD,1,gwd,14.70455327,0.009914583,0.034933849,0.005196446,0.02765244,0.353468007,0.071513372
1,SD,0,pwd,37.42815294,0.015155819,0.128825254,0.007164354,0.05346609,0.266553667,0.059046591
1,SD,0,pwd,37.46116032,0.016538978,0.169774419,0.014889486,0.062867581,0.284338348,0.078135858
1,SD,0.041666667,pwd,48.71800215,0.03966521,2.129990713,0.744250748,0.774719956,1.217891909,0.425850932
1,SD,0.041666667,pwd,49.74786375,0.032788378,1.691410575,0.587055671,0.631661484,1.045317776,0.390308108
1,SD,0.083333333,pwd,59.5018708,0.034609989,1.619176382,1.762678746,2.131166417,1.823398303,0.898126642
1,SD,0.083333333,pwd,58.20718158,0.024765489,1.266058066,1.265628465,1.663946208,1.333784943,0.636476771
1,SD,0.083333333,pwd,56.15903618,0.028557573,1.304783202,1.326155684,1.714088574,1.513542395,0.633193804
1,SD,0.166666667,pwd,58.00266808,0.023910025,1.152373394,0.838592003,1.952015696,2.118618411,0.997692568
1,SD,0.166666667,pwd,58.85714177,0.031020621,1.370692647,0.916732081,2.192524072,2.805014192,1.153201098
1,SD,0.166666667,pwd,60.46249958,0.025580472,1.324506038,1.037236808,2.2179223,2.385972225,1.260679157
1,SD,0.291666667,pwd,58.16006423,0.010472885,0.402481393,0.082463265,0.352718443,1.600859066,0.974055898
1,SD,0.291666667,pwd,59.1230942,0.012062046,0.404891046,0.066047842,0.300462984,1.896001901,0.986697209
1,SD,0.291666667,pwd,59.36753762,0.00811114,0.249342472,0.048066926,0.204920769,1.378798906,0.987154017
1,SD,0.333333333,pwd,62.38855575,0.015070445,0.65619229,0.126856586,0.649308971,2.093310784,1.244643526
1,SD,0.333333333,pwd,64.92014289,0.017011944,0.794187489,0.151850953,0.749721655,2.68044515,1.528339057
1,SD,0.5,pwd,61.56103056,0.036262791,0.600150421,0.063531931,0.211205357,1.688916573,0.512147419
1,SD,0.5,pwd,67.34605174,0.041602076,0.648098382,0.083030514,0.25343973,1.769275878,0.423192015
1,SD,0.5,pwd,57.1506758,0.026232445,0.454559231,0.043406943,0.119168501,1.303151055,0.416817791
1,SD,0.666666667,pwd,57.80590616,0.03336374,0.415070981,0.032238571,0.116615309,1.203268382,0.491510641
1,SD,0.666666667,pwd,58.71383289,0.042311901,0.486782547,0.029362375,0.175072312,1.160820695,0.360651282
1,SD,0.666666667,pwd,58.94502893,0.022436701,0.278458956,0.021062228,0.078295426,0.822380422,0.300742281
1,SD,0.833333333,pwd,53.86810484,0.03221281,0.316881485,0.028794913,0.139199293,0.489148733,0.071909145
1,SD,0.833333333,pwd,54.97824536,0.019706899,0.388412731,0.066416105,0.045857868,0.379192492,0.115001295
1,SD,0.958333333,pwd,31.47186979,0.045023454,0.396794578,0.052808469,0.222917926,0.455774423,0.156817262
1,SD,0.958333333,pwd,48.79833878,0.018626846,0.201521264,0.01362306,0.08441518,0.266642171,0.085264759
1,SD,0.958333333,pwd,6.136261694,0.021681355,0.212155069,0.016268876,0.078875262,0.325911102,0.09310999
1,SD,1,pwd,53.85498646,0.022721498,0.219637658,0.021107079,0.08139587,0.525978506,0.171821527
1,SD,1,pwd,48.25241558,0.026726548,0.260384481,0.017428969,0.10316426,0.550250415,0.170510631
1,SD,1,pwd,47.38400711,0.02654255,0.254263934,0.016670804,0.080314567,0.502944355,0.140140074
2,LD,0,wt,11.67243635,0.144460891,1.283524412,0.164099323,0.625892606,0.774606364,0.520136819
2,LD,0,wt,10.3495237,0.132934336,1.063624689,0.129890338,0.412740497,0.733763443,0.604733593
